2023-11-23 17:20:33.438736
dependency,source,is_git_supported
sphinx-book-theme,https://github.com/executablebooks/sphinx-book-theme,True
pycurl,https://github.com/pycurl/pycurl,True
pyquery,https://github.com/gawel/pyquery,True
click-log,https://github.com/click-contrib/click-log,True
isort,https://github.com/pycqa/isort,True
django-mptt,https://github.com/django-mptt/django-mptt,True
sphinx-intl,https://github.com/sphinx-doc/sphinx-intl,True
backports-csv,https://github.com/ryanhiebert/backports.csv,True
social-auth-core,https://github.com/python-social-auth/social-core,True
django-elasticsearch-debug-toolbar,http://github.com/Benoss/django-elasticsearch-debug-toolbar,True
click-repl,https://github.com/untitaker/click-repl,True
grimp,https://github.com/seddonym/grimp,True
pytest-split,https://github.com/jerry-git/pytest-split,True
edx-api-doc-tools,https://github.com/openedx/api-doc-tools,True
hologram,https://github.com/fishtown-analytics/hologram,True
cheroot,https://github.com/cherrypy/cheroot,True
jsonpickle,https://github.com/jsonpickle/jsonpickle,True
ptyprocess,https://github.com/pexpect/ptyprocess,True
django-contrib-comments,https://github.com/django/django-contrib-comments,True
grpcio,https://github.com/grpc/grpc,True
schema,https://github.com/keleshev/schema,True
psutil,https://github.com/giampaolo/psutil,True
django-sortedm2m,https://github.com/jazzband/django-sortedm2m,True
attrs,https://github.com/python-attrs/attrs,True
responses,https://github.com/getsentry/responses,True
pytest-rerunfailures,https://github.com/pytest-dev/pytest-rerunfailures,True
pytest-cache,http://bitbucket.org/hpk42/pytest-cache,True
traceback2,https://github.com/testing-cabal/traceback2,True
django-lang-pref-middleware,https://github.com/openedx/django-lang-pref-middleware,True
scriv,https://github.com/sponsors/nedbat,True
markey,http://github.com/EnTeQuAk/markey,True
django-stubs,https://github.com/typeddjango/django-stubs,True
doc8,https://github.com/pycqa/doc8,True
pytzdata,https://github.com/sdispater/pytzdata,True
secretstorage,https://github.com/mitya57/secretstorage,True
h11,https://github.com/python-hyper/h11,True
pendulum,https://github.com/sdispater/pendulum,True
graphitesend,https://github.com/daniellawrence/graphitesend,True
freezegun,https://github.com/spulec/freezegun,True
argh,https://github.com/neithere/argh,True
django-dynamic-filenames,https://github.com/codingjoe/django-dynamic-filenames,True
logutils,https://bitbucket.org/vinay.sajip/logutils/src/master/,True
agate,https://github.com/wireservice/agate,True
kubernetes,https://github.com/kubernetes-client/python,True
babel,https://github.com/python-babel/babel,True
autocommand,https://github.com/Lucretiel/autocommand,True
gitdb,https://github.com/gitpython-developers/gitdb,True
django-fernet-fields,https://github.com/orcasgit/django-fernet-fields,True
premailer,http://github.com/peterbe/premailer,True
jsonfield,https://github.com/rpkilby/jsonfield,True
httpx,https://github.com/encode/httpx,True
slackclient,https://github.com/slackapi/python-slack-sdk,True
python-monkey-business,https://github.com/theatlantic/python-monkey-business,True
moreorless,https://github.com/thatch/moreorless,True
openedx-django-require,https://github.com/etianen/django-require,True
pyinstaller-hooks-contrib,https://github.com/pyinstaller/pyinstaller-hooks-contrib,True
types-setuptools,https://github.com/python/typeshed,True
django-bootstrap3,https://github.com/zostera/django-bootstrap3,True
jsondiff,https://github.com/ZoomerAnalytics/jsondiff,True
ptvsd,https://github.com/Microsoft/ptvsd,True
matplotlib,https://github.com/matplotlib/matplotlib,True
stripe,https://github.com/stripe/stripe-python,True
faker,https://github.com/joke2k/faker,True
unittest2,No Github Link,False
cairocffi,https://github.com/Kozea/cairocffi,True
google-cloud-translate,https://github.com/googleapis/python-translate,True
edx-event-bus-redis,https://github.com/openedx/event-bus-redis,True
sshpubkeys,https://github.com/ojarva/python-sshpubkeys,True
click,https://github.com/pallets/click,True
edx-search,https://github.com/openedx/edx-search,True
orjson,https://github.com/ijl/orjson,True
didkit,https://github.com/spruceid/didkit,True
srt,https://github.com/cdown/srt,True
pytest-aiohttp,https://github.com/aio-libs/pytest-aiohttp,True
coreapi,https://github.com/core-api/python-client,True
leather,https://github.com/wireservice/leather,True
django-modelcluster,https://github.com/wagtail/django-modelcluster,True
django-environ,https://github.com/joke2k/django-environ,True
importlib-resources,https://github.com/python/importlib_resources,True
sentry-sdk,https://github.com/getsentry/sentry-python,True
sphinx-reredirects,https://github.com/documatt/sphinx-reredirects,True
simplejson,https://github.com/simplejson/simplejson,True
hypothesis,https://github.com/HypothesisWorks/hypothesis,True
vine,https://github.com/celery/vine,True
pysrt,https://github.com/byroot/pysrt,True
deprecated,https://github.com/tantale/deprecated,True
uvicorn,https://github.com/sponsors/encode,True
boto3,https://github.com/boto/boto3,True
jwcrypto,https://github.com/latchset/jwcrypto,True
openedx-events,https://github.com/openedx/openedx-events,True
cryptography,https://github.com/pyca/cryptography,True
atomicwrites,https://github.com/untitaker/python-atomicwrites,True
sphinx-autobuild,https://github.com/executablebooks/sphinx-autobuild,True
smmap,https://github.com/gitpython-developers/smmap,True
pylint-celery,https://github.com/landscapeio/pylint-celery,True
python3-saml,https://github.com/SAML-Toolkits/python3-saml,True
asttokens,https://github.com/gristlabs/asttokens,True
openedx-django-wiki,https://github.com/openedx/django-wiki,True
django-storage-swift,https://github.com/dennisv/django-storage-swift,True
packaging,https://github.com/pypa/packaging,True
hvac,https://github.com/hvac/hvac,True
transifex-client,https://github.com/transifex/transifex-client,True
ruamel-yaml-convert,https://bitbucket.org/ruamel/yaml.convert,True
webtest,https://github.com/Pylons/webtest,True
xmlsec,https://github.com/mehcode/python-xmlsec,True
coverage,https://github.com/nedbat/coveragepy,True
django-pyfs,https://github.com/edx/django-pyfs,True
slacker,http://github.com/os/slacker,True
rcssmin,https://github.com/ndparker/rcssmin,True
texttable,https://github.com/foutaise/texttable,True
contentful,https://github.com/contentful/contentful.py,True
django-method-override,https://gitlab.com/localmed/django-method-override,True
purl,https://github.com/codeinthehole/purl,True
statistics,https://github.com/digitalemagine/py-statistics,True
pansi,https://github.com/technige/pansi,True
dockerpty,https://github.com/d11wtq/dockerpty,True
msgpack,https://github.com/msgpack/msgpack-python,True
ujson,https://github.com/ultrajson/ultrajson,True
pep8,https://github.com/PyCQA/pycodestyle,True
httpretty,https://github.com/gabrielfalcao/httpretty,True
six,https://github.com/benjaminp/six,True
codejail-includes,https://github.com/edx/codejail-includes,True
wsgi-request-logger,https://github.com/pklaus/wsgi-request-logger,True
maxminddb,https://github.com/maxmind/MaxMind-DB-Reader-python,True
sphinxcontrib-httpdomain,https://github.com/sphinx-contrib/httpdomain,True
onelogin-aws-assume-role,https://github.com/onelogin/onelogin-python-aws-assume-role,True
pep257,https://github.com/GreenSteam/pep257,True
peewee,https://github.com/coleifer/peewee,True
naked,https://github.com/chrissimpkins/naked,True
starlette,https://github.com/sponsors/encode,True
psycopg2,https://github.com/psycopg/psycopg2,True
jedi,https://github.com/davidhalter/jedi,True
segment-analytics-python,https://github.com/segmentio/analytics-python,True
croniter,http://github.com/kiorky/croniter,True
types-python-dateutil,https://github.com/python/typeshed,True
snowflake-connector-python,https://github.com/snowflakedb/snowflake-connector-python,True
docker-compose,https://github.com/docker/compose,True
python-crontab,https://gitlab.com/doctormo/python-crontab,True
edx-celeryutils,https://github.com/openedx/edx-celeryutils,True
cloudpickle,https://github.com/cloudpipe/cloudpickle,True
itsdangerous,https://github.com/pallets/itsdangerous,True
edx-django-utils,https://github.com/openedx/edx-django-utils,True
openpyxl,https://foss.heptapod.net/openpyxl/openpyxl,True
elasticsearch,https://github.com/elastic/elasticsearch-py,True
distro,https://github.com/python-distro/distro,True
zstandard,https://github.com/indygreg/python-zstandard,True
strict-rfc3339,No Github Link,False
geoip2,https://github.com/maxmind/GeoIP2-python,True
google-auth-httplib2,https://github.com/GoogleCloudPlatform/google-auth-library-python-httplib2,True
wcmatch,https://github.com/facelessuser/wcmatch,True
zc-lockfile,https://github.com/zopefoundation/zc.lockfile,True
apache-libcloud,https://github.com/apache/libcloud,True
ordered-set,https://github.com/rspeer/ordered-set,True
backports-zoneinfo,https://github.com/pganssle/zoneinfo,True
jinja2-pluralize,https://github.com/audreyr/jinja2_pluralize,True
django-ses,https://github.com/django-ses/django-ses,True
django-extensions,https://github.com/django-extensions/django-extensions,True
rfc3986,https://github.com/python-hyper/rfc3986,True
django-classy-tags,https://github.com/django-cms/django-classy-tags,True
tqdm,https://github.com/tqdm/tqdm,True
edx-name-affirmation,https://github.com/edx/edx-name-affirmation,True
gunicorn,https://github.com/benoitc/gunicorn,True
django-statici18n,https://github.com/zyegfryed/django-statici18n,True
junit-xml,https://github.com/kyrus/python-junit-xml,True
macholib,http://github.com/ronaldoussoren/macholib,True
proto-plus,https://github.com/googleapis/proto-plus-python.git,True
sphinxcontrib-devhelp,https://github.com/sphinx-doc/sphinx,True
kiwisolver,https://github.com/nucleic/kiwi,True
django-ratelimit,https://github.com/jsocol/django-ratelimit,True
volatile,https://github.com/mbr/volatile,True
jsonpointer,https://github.com/stefankoegl/python-json-pointer,True
dask,https://github.com/dask/dask,True
jsonschema,https://github.com/sponsors/Julian,True
django-config-models,https://github.com/openedx/django-config-models,True
argparse,https://github.com/ThomasWaldmann/argparse,True
djangorestframework-csv,https://github.com/mjumbewu/django-rest-framework-csv,True
cached-property,https://github.com/pydanny/cached-property,True
flaky,https://github.com/box/flaky,True
build,https://github.com/pypa/build,True
pip,https://github.com/pypa/pip,True
djangorestframework,https://github.com/encode/django-rest-framework,True
pyproject-hooks,https://github.com/pypa/pyproject-hooks,True
jsonschema-specifications,https://github.com/sponsors/Julian,True
more-itertools,https://github.com/more-itertools/more-itertools,True
rich,https://github.com/Textualize/rich,True
jmespath,https://github.com/jmespath/jmespath.py,True
pymongo,http://github.com/mongodb/mongo-python-driver,True
mpmath,https://github.com/fredrik-johansson/mpmath,True
python-slugify,https://github.com/un33k/python-slugify,True
appium-python-client,https://github.com/appium/python-client,True
django-crum,https://github.com/ninemoreminutes/django-crum,True
paypalrestsdk,https://github.com/paypal/PayPal-Python-SDK,True
livereload,https://github.com/lepture/python-livereload,True
boto,https://github.com/boto/boto,True
webvtt-py,https://github.com/glut23/webvtt-py,True
google-auth,https://github.com/googleapis/google-auth-library-python,True
glom,https://github.com/mahmoud/glom,True
ua-parser,https://github.com/ua-parser/uap-python,True
pathable,https://github.com/p1c2u/pathable,True
mechanize,https://github.com/python-mechanize/mechanize,True
unidiff,http://github.com/matiasb/python-unidiff,True
edx-token-utils,https://github.com/edx/token-utils,True
slumber,http://github.com/samgiles/slumber,True
xmltodict,https://github.com/martinblech/xmltodict,True
azure-storage-nspkg,https://github.com/Azure/azure-storage-python,True
exceptiongroup,https://github.com/agronholm/exceptiongroup,True
commonmark,https://github.com/rtfd/commonmark.py,True
sphinxcontrib-django,https://github.com/edoburu/sphinxcontrib-django,True
pockets,https://github.com/RobRuana/pockets,True
zappa-manage,https://github.com/edx/zappa-manage,True
logging-tree,https://github.com/brandon-rhodes/logging_tree,True
yarn-api-client,https://github.com/CODAIT/hadoop-yarn-api-python-client,True
black,https://github.com/psf/black,True
ruamel-yaml,https://sourceforge.net/p/ruamel-yaml/code/ci/default/tree/,True
sphinxcontrib-websupport,https://github.com/sphinx-doc/sphinxcontrib-websupport,True
pytest,https://github.com/pytest-dev/pytest,True
backports-abc,https://github.com/cython/backports_abc,True
sh,https://github.com/amoffat/sh,True
python-box,https://github.com/cdgriffith/Box,True
django-parler,https://github.com/edoburu/django-parler,True
github3.py,https://github.com/sigmavirus24/github3.py,True
waitress,https://github.com/Pylons/waitress,True
oauth2client,http://github.com/google/oauth2client,True
bleach,https://github.com/mozilla/bleach,True
pyopenssl,https://github.com/pyca/pyopenssl,True
monotonic,https://github.com/atdt/monotonic,True
django-elasticsearch-dsl-drf,https://github.com/barseghyanartur/django-elasticsearch-dsl-drf,True
path-py,https://github.com/jaraco/path,True
billiard,https://github.com/celery/billiard,True
telepath,https://github.com/wagtail/telepath,True
django-object-actions,https://github.com/crccheck/django-object-actions,True
aws-xray-sdk,https://github.com/aws/aws-xray-sdk-python,True
python-coveralls,http://github.com/z4r/python-coveralls,True
python3-openid,http://github.com/necaris/python3-openid,True
ecdsa,http://github.com/tlsfuzzer/python-ecdsa,True
fs-s3fs,https://github.com/PyFilesystem/s3fs,True
types-requests,https://github.com/python/typeshed,True
tox-battery,https://github.com/signalpillar/tox-battery,True
edx-enterprise-data,https://github.com/openedx/edx-enterprise-data,True
openai,https://github.com/openai/openai-python,True
pylint-django,https://github.com/PyCQA/pylint-django,True
yarl,https://github.com/aio-libs/yarl,True
unicodecsv,https://github.com/jdunck/python-unicodecsv,True
sphinx-panels,https://github.com/executablebooks/sphinx-panels,True
logbook,https://github.com/getlogbook/logbook,True
prefect,https://github.com/PrefectHQ/prefect,True
pyinstrument,https://github.com/joerick/pyinstrument,True
django-filter,https://github.com/carltongibson/django-filter,True
django-libsass,https://github.com/torchbox/django-libsass,True
openedx-ledger,https://github.com/openedx/openedx-ledger,True
drf-extensions,http://github.com/chibisov/drf-extensions,True
django-braces,https://github.com/brack3t/django-braces,True
django-countries,https://github.com/SmileyChris/django-countries,True
google-cloud-resource-manager,https://github.com/googleapis/google-cloud-python,True
pytest-json-report,https://github.com/numirias/pytest-json-report,True
django-permissionedforms,https://github.com/wagtail/django-permissionedforms,True
jaraco-context,https://github.com/jaraco/jaraco.context,True
configparser,https://github.com/jaraco/configparser,True
help-tokens,https://github.com/openedx/help-tokens,True
django-threadlocals,https://github.com/nebstrebor/django-threadlocals,True
mistune,https://github.com/lepture/mistune,True
werkzeug,https://github.com/pallets/werkzeug,True
sarif-om,https://github.com/microsoft/sarif-python-om,True
edx-event-bus-kafka,https://github.com/openedx/event-bus-kafka,True
nltk,https://github.com/nltk/nltk,True
fs,https://github.com/PyFilesystem/pyfilesystem2,True
jsx-lexer,https://github.com/fcurella/jsx-lexer,True
platformdirs,https://github.com/platformdirs/platformdirs,True
django-storages,https://github.com/jschneier/django-storages,True
tincan,https://github.com/RusticiSoftware/TinCanPython,True
pynacl,https://github.com/pyca/pynacl,True
fissix,https://github.com/jreese/fissix,True
django-extra-views,https://github.com/AndrewIngram/django-extra-views,True
kombu,https://github.com/celery/kombu,True
linecache2,https://github.com/testing-cabal/linecache2,True
watchdog,https://github.com/gorakhargosh/watchdog,True
easydict,https://github.com/makinacorpus/easydict,True
durationpy,https://github.com/icholy/durationpy,True
rq,https://github.com/nvie/rq,True
logilab-common,https://forge.extranet.logilab.fr/open-source/logilab-common,False
django-stdimage,https://github.com/codingjoe/django-stdimage,True
