2023-11-22 17:58:53.239288
dependency,source,is_git_supported
ora2,http://github.com/openedx/edx-ora2,True
jeepney,https://gitlab.com/takluyver/jeepney,True
jsondiff,https://github.com/ZoomerAnalytics/jsondiff,True
pycodestyle,No Github Link,False
python-swiftclient,https://opendev.org/openstack/python-swiftclient,False
pillow-heif,https://github.com/bigcat88/pillow_heif,True
zappa-manage,https://github.com/edx/zappa-manage,True
diff-cover,https://github.com/Bachmann1234/diff-cover,True
pyinstaller,https://github.com/pyinstaller/pyinstaller,True
volatile,https://github.com/mbr/volatile,True
unittest2,No Github Link,False
pycryptodome,https://github.com/Legrandin/pycryptodome,True
aniso8601,https://bitbucket.org/nielsenb/aniso8601,True
pytest-responses,https://github.com/getsentry/pytest-responses,True
bcrypt,https://github.com/pyca/bcrypt,True
xlsxwriter,https://github.com/jmcnamara/XlsxWriter,True
super-csv,https://github.com/openedx/super-csv,True
qrcode,https://github.com/lincolnloop/python-qrcode,True
drf-jwt,https://github.com/Styria-Digital/django-rest-framework-jwt,True
django-simple-history,https://github.com/jazzband/django-simple-history,True
watchdog,https://github.com/gorakhargosh/watchdog,True
httmock,https://github.com/patrys/httmock,True
pytest-forked,https://github.com/pytest-dev/pytest-forked,True
crispy-bootstrap3,https://github.com/django-crispy-forms/crispy-bootstrap3,True
tox,https://github.com/tox-dev/tox,True
flask-sslify,https://github.com/kennethreitz/flask-sslify,True
parsimonious,https://github.com/erikrose/parsimonious,True
boto,https://github.com/boto/boto,True
gspread,https://github.com/burnash/gspread,True
types-pyyaml,https://github.com/python/typeshed,True
scriv,https://github.com/nedbat/scriv,True
pyinstaller-hooks-contrib,https://github.com/pyinstaller/pyinstaller-hooks-contrib,True
sphinxcontrib-serializinghtml,https://github.com/sphinx-doc/sphinxcontrib-serializinghtml,True
django-fernet-fields-v2,https://github.com/MichelML/django-fernet-fields,True
gevent,https://github.com/gevent/gevent,True
psutil,https://github.com/giampaolo/psutil,True
sphinx-reredirects,No Github Link,False
dbt-extractor,https://github.com/dbt-labs/dbt-parser-generator,True
hjson,http://github.com/hjson/hjson-py,True
junit-xml,https://github.com/kyrus/python-junit-xml,True
croniter,http://github.com/kiorky/croniter,True
yagocd,https://github.com/grundic/yagocd,True
django-appconf,https://github.com/django-compressor/django-appconf,True
pyasn1,https://github.com/pyasn1/pyasn1,True
certifi,https://github.com/certifi/python-certifi,True
cycler,https://github.com/matplotlib/cycler,True
edx-django-utils,https://github.com/openedx/edx-django-utils,True
dbt-core,https://github.com/dbt-labs/dbt-core,True
sphinx-copybutton,https://github.com/executablebooks/sphinx-copybutton,True
xmltodict,https://github.com/martinblech/xmltodict,True
distro,https://github.com/python-distro/distro,True
urwid,https://github.com/urwid/urwid,True
pathable,https://github.com/p1c2u/pathable,True
typing,https://github.com/python/typing,True
cfn-lint,https://github.com/aws-cloudformation/cfn-python-lint,True
openai,https://github.com/openai/openai-python,True
edx-ace,https://github.com/openedx/edx-ace,True
x509,https://github.com/cniemira/py3x509,True
secretstorage,https://github.com/mitya57/secretstorage,True
httpx,https://github.com/encode/httpx,True
django-multi-email-field,No Github Link in Release History,False
xmlformatter,No Github Link,False
sqlalchemy,https://github.com/sqlalchemy/sqlalchemy,True
crowdsourcehinter-xblock,https://github.com/edx/crowdsourcehinter,True
libsass,https://github.com/sass/libsass-python,True
platformdirs,https://github.com/platformdirs/platformdirs,True
pypi,No Github Link,False
pytest-attrib,No Github Link,False
click,https://github.com/pallets/click,True
altgraph,https://github.com/ronaldoussoren/altgraph,True
telepath,https://github.com/wagtail/telepath,True
futures,https://github.com/agronholm/pythonfutures,True
pytest-cache,http://bitbucket.org/hpk42/pytest-cache,True
scipy,https://github.com/scipy/scipy,True
vine,https://github.com/celery/vine,True
semgrep,https://github.com/returntocorp/semgrep,True
caniusepython3,https://github.com/brettcannon/caniusepython3,True
django-storage-swift,https://github.com/dennisv/django-storage-swift,True
sphinxcontrib-django,https://github.com/edoburu/sphinxcontrib-django,True
naked,https://github.com/chrissimpkins/naked,True
aiodns,https://github.com/saghul/aiodns,True
pydocstyle,https://github.com/PyCQA/pydocstyle,True
google-api-python-client,https://github.com/googleapis/google-api-python-client,True
jsonschema-path,https://github.com/p1c2u/jsonschema-path,True
regex,https://github.com/mrabarnett/mrab-regex,True
xblock-google-drive,https://github.com/openedx/xblock-google-drive,True
walrus,http://github.com/coleifer/walrus,True
sentry-sdk,https://github.com/getsentry/sentry-python,True
edx-drf-extensions,https://github.com/openedx/edx-drf-extensions,True
jmespath,https://github.com/jmespath/jmespath.py,True
sphinxcontrib-htmlhelp,https://github.com/sphinx-doc/sphinxcontrib-htmlhelp,True
django-autocomplete-light,https://github.com/yourlabs/django-autocomplete-light,True
pygithub,https://github.com/pygithub/pygithub,True
mccabe,https://github.com/pycqa/mccabe,True
packaging,https://github.com/pypa/packaging,True
backoff,https://github.com/litl/backoff,True
mako,https://github.com/sqlalchemy/mako,True
sniffio,https://github.com/python-trio/sniffio,True
requests-oauthlib,https://github.com/requests/requests-oauthlib,True
accessible-pygments,https://github.com/Quansight-Labs/accessible-pygments,True
python-box,https://github.com/cdgriffith/Box,True
mashumaro,https://github.com/Fatal1ty/mashumaro,True
mdurl,https://github.com/executablebooks/mdurl,True
l18n,https://github.com/tkhyn/l18n,True
fastapi,https://github.com/tiangolo/fastapi,True
ansible-core,https://github.com/ansible/ansible,True
logutils,No Github Link,False
django-stdimage,https://github.com/codingjoe/django-stdimage,True
path-py,https://github.com/jaraco/path,True
pynacl,https://github.com/pyca/pynacl,True
grpc-google-iam-v1,https://github.com/googleapis/python-grpc-google-iam-v1,True
cloudflare,https://github.com/cloudflare/python-cloudflare,True
frozenlist,https://github.com/aio-libs/frozenlist,True
